age,sex,bmi,children,smoker,region,charges,SSN,Name
47,female,23.6,1,no,southwest,8539.671,7274220,Nicole James
38,male,21.12,3,no,southeast,6652.5288,6005313,Margaret Moran
32,male,30.03,1,no,southeast,4074.4537,8924195,James Stewart
19,male,17.48,0,no,northwest,1621.3402,4508640,Jeffrey Sanchez
44,female,20.235,1,yes,northeast,19594.80965,9734715,Teresa Martinez MD
26,female,17.195,2,yes,northeast,14455.64405,6567491,Eric Campbell
25,male,23.9,5,no,southwest,5080.096,8362644,Alyssa Wade
19,female,35.15,0,no,northwest,2134.9015,234679,Jason Roberts
43,female,35.64,1,no,southeast,7345.7266,5510762,Ricky Bennett
52,male,34.1,0,no,southeast,9140.951,7178333,Dr. Robert Bailey
36,female,22.6,2,yes,southwest,18608.262,5690409,Thomas Paul
64,male,39.16,1,no,southeast,14418.2804,3302764,Kyle Thomas
63,female,26.98,0,yes,northwest,28950.4692,1572018,Matthew Ray
64,male,33.88,0,yes,southeast,46889.2612,1518260,Bradley Burns
61,male,35.86,0,yes,southeast,46599.1084,7297585,Marissa Miller
40,male,32.775,1,yes,northeast,39125.33225,6256609,Debbie Santos
25,male,30.59,0,no,northeast,2727.3951,2588967,Rachel Martinez
48,male,30.2,2,no,southwest,8968.33,7068277,Troy Meyer
45,male,24.31,5,no,southeast,9788.8659,963480,Casey Gomez
38,female,27.265,1,no,northeast,6555.07035,8637940,Allison Hill
18,female,29.165,0,no,northeast,7323.734819,3419283,Mark Mcclure
21,female,16.815,1,no,northeast,3167.45585,6697848,David Hoffman
27,female,30.4,3,no,northwest,18804.7524,8227824,Kimberly Osborne
19,male,33.1,0,no,southwest,23082.95533,7631165,Benjamin Welch
29,female,20.235,2,no,northwest,4906.40965,4687234,Savannah Garcia
42,male,26.9,0,no,southwest,5969.723,4751079,Steve Sanchez
60,female,30.5,0,no,southwest,12638.195,52427,Shawn Baker
31,male,28.595,1,no,northwest,4243.59005,7337543,Brian Deleon
60,male,33.11,3,no,southeast,13919.8229,5951484,Nicholas Edwards
22,male,31.73,0,no,northeast,2254.7967,7693676,Michael Dixon
35,male,28.9,3,no,southwest,5926.846,4558122,Stephanie Simmons
52,female,46.75,5,no,southeast,12592.5345,9806990,James Snow
26,male,29.45,0,no,northeast,2897.3235,9912419,Barry Bernard
31,female,32.68,1,no,northwest,4738.2682,3147379,Samuel Short
33,female,33.5,0,yes,southwest,37079.372,8557444,Justin Allen
18,male,43.01,0,no,southeast,1149.3959,1167190,Joseph Hill
59,female,36.52,1,no,southeast,28287.89766,3447134,Lisa Singh
56,male,26.695,1,yes,northwest,26109.32905,7429671,Katherine Miller
45,female,33.1,0,no,southwest,7345.084,1093248,April Booth
60,male,29.64,0,no,northeast,12730.9996,5886753,Katie Suarez
56,female,25.65,0,no,northwest,11454.0215,3431611,Charles Pitts
40,female,29.6,0,no,southwest,5910.944,7436713,Kathleen Aguilar
35,male,38.6,1,no,southwest,4762.329,8588424,Patricia Becker
39,male,29.6,4,no,southwest,7512.267,1382675,Ashley Hall
30,male,24.13,1,no,northwest,4032.2407,3529042,Colton Martinez
24,male,23.4,0,no,southwest,1969.614,1592124,Ivan Wheeler
20,male,29.735,0,no,northwest,1769.53165,6560494,Nicholas Edwards
32,male,46.53,2,no,southeast,4686.3887,6675254,Sandra Adams
59,male,37.4,0,no,southwest,21797.0004,762268,Douglas Gregory
55,female,30.14,2,no,southeast,11881.9696,1818835,Travis Stevens
57,female,30.495,0,no,northwest,11840.77505,9807935,John Welch
56,male,39.6,0,no,southwest,10601.412,6291486,Raymond Shelton
40,female,33,3,no,southeast,7682.67,7947383,Sandy Stephenson
49,female,36.63,3,no,southeast,10381.4787,6153051,Sarah Mitchell
42,male,30,0,yes,southwest,22144.032,9621851,Bryan Allen
62,female,38.095,2,no,northeast,15230.32405,7403450,George Day
56,male,25.935,0,no,northeast,11165.41765,6582029,Brian Murphy
19,male,25.175,0,no,northwest,1632.03625,2172715,Donald Horne
30,female,28.38,1,yes,southeast,19521.9682,8922680,Kristen Salazar
60,female,28.7,1,no,southwest,13224.693,7844736,Leslie Carpenter
56,female,33.82,2,no,northwest,12643.3778,4701687,Bryan Cole
28,female,24.32,1,no,northeast,23288.9284,3986800,Justin Cox
18,female,24.09,1,no,southeast,2201.0971,8962309,Justin Wells Jr.
27,male,32.67,0,no,southeast,2497.0383,7584419,Christopher Barr
18,female,30.115,0,no,northeast,2203.47185,4540193,Cynthia Williams
19,female,29.8,0,no,southwest,1744.465,8516122,Brandi Gordon
47,female,33.345,0,no,northeast,20878.78443,3391878,Jonathan Jacobson
54,male,25.1,3,yes,southwest,25382.297,8017046,Jody Palmer
61,male,28.31,1,yes,northwest,28868.6639,1907903,Nathan Coleman
24,male,28.5,0,yes,northeast,35147.52848,3427086,Antonio Fry
25,male,35.625,0,no,northwest,2534.39375,8546785,Philip Ramsey
21,male,36.85,0,no,southeast,1534.3045,8010062,Gary James
23,male,32.56,0,no,southeast,1824.2854,7933410,William Smith
63,male,41.325,3,no,northwest,15555.18875,5621850,Benjamin Frost
49,male,37.51,2,no,southeast,9304.7019,2126788,Elizabeth Wright
18,female,31.35,0,no,southeast,1622.1885,7124065,Caroline Adams
51,female,39.5,1,no,southwest,9880.068,4342661,Robert Long
48,male,34.3,3,no,southwest,9563.029,7146112,Jessica Smith
31,female,31.065,0,no,northeast,4347.02335,3341918,Kristen Rivera
54,female,21.47,3,no,northwest,12475.3513,2782827,Elizabeth Mendez
19,male,28.7,0,no,southwest,1253.936,5807836,Andre Juarez
44,female,38.06,0,yes,southeast,48885.13561,5367294,Kim Carlson
53,male,31.16,1,no,northwest,10461.9794,632424,Kathleen Morris
19,female,32.9,0,no,southwest,1748.774,2189092,Adam Cooper
61,female,25.08,0,no,southeast,24513.09126,8055269,Lindsay Lawson
18,female,25.08,0,no,northeast,2196.4732,1617990,Kimberly Hernandez
61,male,43.4,0,no,southwest,12574.049,8000307,Michael Ray
21,male,25.7,4,yes,southwest,17942.106,3832060,Dr. Andrea Marshall
20,male,27.93,0,no,northeast,1967.0227,5574313,Jacqueline Villegas
31,female,23.6,2,no,southwest,4931.647,1712100,Michael Morrison
45,male,28.7,2,no,southwest,8027.968,4768701,Jessica Ramsey
44,female,23.98,2,no,southeast,8211.1002,2239559,Daniel Huang
62,female,39.2,0,no,southwest,13470.86,5452267,Lucas Drake
29,male,34.4,0,yes,southwest,36197.699,1006762,Keith Zuniga
43,male,26.03,0,no,northeast,6837.3687,6884443,Candace Jones
51,male,23.21,1,yes,southeast,22218.1149,3490211,Brian Glover
19,male,30.25,0,yes,southeast,32548.3405,1686854,Lisa Martinez
38,female,28.93,1,no,southeast,5974.3847,544471,Matthew Armstrong
37,male,30.875,3,no,northwest,6796.86325,357972,Brandy York
22,male,31.35,1,no,northwest,2643.2685,7489691,Tracy Fleming
21,male,23.75,2,no,northwest,3077.0955,8428241,Rebekah Greene
24,female,25.27,0,no,northeast,3044.2133,5217525,Terry Jones
57,female,28.7,0,no,southwest,11455.28,447898,Tiffany Mcclain
56,male,32.11,1,no,northeast,11763.0009,461849,Dawn Nichols
27,male,33.66,0,no,southeast,2498.4144,7447012,Susan Watts
51,male,22.42,0,no,northeast,9361.3268,9027716,Jesus Houston
19,male,30.4,0,no,southwest,1256.299,3177971,Lisa Smith
39,male,28.3,1,yes,southwest,21082.16,272614,Anthony Walker
58,male,35.7,0,no,southwest,11362.755,4654722,Kristen Reynolds
20,male,35.31,1,no,southeast,27724.28875,438057,Mary Butler
45,male,30.495,2,no,northwest,8413.46305,8422940,Michele Holland
35,female,31,1,no,southwest,5240.765,9930561,Joshua Powell
31,male,30.875,0,no,northeast,3857.75925,4819346,Christine Soto
50,female,27.36,0,no,northeast,25656.57526,1009968,Jessica Foster
32,female,44.22,0,no,southeast,3994.1778,9492995,Donna Jones
51,female,33.915,0,no,northeast,9866.30485,8725639,Sarah Trevino
38,female,37.73,0,no,southeast,5397.6167,9892665,Mr. Daniel Freeman
42,male,26.07,1,yes,southeast,38245.59327,2992280,Chris Moore
18,female,33.88,0,no,southeast,11482.63485,8862912,Kevin Saunders
19,female,30.59,2,no,northwest,24059.68019,9818063,Jane Chapman
51,female,25.8,1,no,southwest,9861.025,2601279,Justin King
46,male,39.425,1,no,northeast,8342.90875,9380118,Kelly Lee
18,male,25.46,0,no,northeast,1708.0014,4163356,Bruce Palmer
57,male,42.13,1,yes,southeast,48675.5177,7595794,Cynthia Allen
62,female,31.73,0,no,northeast,14043.4767,7636556,Adam Craig
59,male,29.7,2,no,southeast,12925.886,5588450,Sarah Holmes DDS
37,male,36.19,0,no,southeast,19214.70553,9876220,Tanya Fisher
64,male,40.48,0,no,southeast,13831.1152,8299796,Stacey Parker
38,male,28.025,1,no,northeast,6067.12675,2663416,Melissa Vasquez
33,female,38.9,3,no,southwest,5972.378,5705120,Anthony Nichols
46,female,30.2,2,no,southwest,8825.086,2491630,Tyrone Mayer
46,female,28.05,1,no,southeast,8233.0975,9285574,Justin Newman
53,male,31.35,0,no,southeast,27346.04207,2203173,Mary Ryan
34,female,38,3,no,southwest,6196.448,3839288,Stephanie Short
20,female,31.79,2,no,southeast,3056.3881,8240433,Mark Mckenzie
63,female,36.3,0,no,southeast,13887.204,6139060,James Hardin
54,female,47.41,0,yes,southeast,63770.42801,8983314,George Alvarez
54,male,30.21,0,no,northwest,10231.4999,5383388,Robert Gonzalez
49,male,25.84,2,yes,northwest,23807.2406,8780038,Mary Durham
28,male,35.435,0,no,northeast,3268.84665,2983248,Mary Miller
54,female,46.7,2,no,southwest,11538.421,2677223,Cody Farmer
25,female,28.595,0,no,northeast,3213.62205,347644,Logan Newton
43,female,46.2,0,yes,southeast,45863.205,6860259,Kevin Marquez
63,male,30.8,0,no,southwest,13390.559,220502,Lisa Snyder
32,female,28.93,0,no,southeast,3972.9247,1981794,Erica Merritt
62,male,21.4,0,no,southwest,12957.118,8501556,Mario Wilson
52,female,31.73,2,no,northwest,11187.6567,9145046,Emily Herrera
25,female,41.325,0,no,northeast,17878.90068,5701840,John Russo
28,male,23.8,2,no,southwest,3847.674,1601662,Gregory Flores
46,male,33.44,1,no,northeast,8334.5896,9928161,Steven Scott
34,male,34.21,0,no,southeast,3935.1799,9196570,Gloria Benson
35,female,34.105,3,yes,northwest,39983.42595,5666683,Mrs. Ann Smith
19,male,35.53,0,no,northwest,1646.4297,9738468,Shannon English
46,female,19.95,2,no,northwest,9193.8385,4209494,Mary Barnett
54,female,32.68,0,no,northeast,10923.9332,7663723,Brian Thompson
27,male,30.5,0,no,southwest,2494.022,3938525,Robert Reyes
50,male,44.77,1,no,southeast,9058.7303,1406650,Michelle Wilson
18,female,32.12,2,no,southeast,2801.2588,6183067,Kenneth King
19,female,30.495,0,no,northwest,2128.43105,8700505,Stephanie Mccoy
38,female,40.565,1,no,northwest,6373.55735,5198253,Summer Hoover
41,male,30.59,2,no,northwest,7256.7231,9279145,John Smith
49,female,31.9,5,no,southwest,11552.904,1137995,Michael Williams
48,male,40.565,2,yes,northwest,45702.02235,5349292,James Taylor
31,female,29.1,0,no,southwest,3761.292,2543107,Jennifer Williams
18,female,37.29,1,no,southeast,2219.4451,8183253,Lisa Johnston
30,female,43.12,2,no,southeast,4753.6368,2723804,Meghan Patel
62,female,36.86,1,no,northeast,31620.00106,2223105,Eric Anderson
57,female,34.295,2,no,northeast,13224.05705,2814069,Theresa Reilly
58,female,27.17,0,no,northwest,12222.8983,7674266,Larry Harding
22,male,26.84,0,no,southeast,1664.9996,7146273,Suzanne Gonzalez
31,female,38.095,1,yes,northeast,58571.07448,8554451,Shawn Taylor
52,male,30.2,1,no,southwest,9724.53,4013223,Michaela Lang
25,female,23.465,0,no,northeast,3206.49135,8911908,Michael Webster
59,male,25.46,1,no,northeast,12913.9924,7386463,Philip Edwards
19,male,30.59,0,no,northwest,1639.5631,7114773,Ryan Powell
39,male,45.43,2,no,southeast,6356.2707,8427624,Katherine Green
32,female,23.65,1,no,southeast,17626.23951,4911415,Alfred Williams
19,male,20.7,0,no,southwest,1242.816,3919195,Michael Rogers
33,female,28.27,1,no,southeast,4779.6023,3246651,Kimberly Ibarra
21,male,20.235,3,no,northeast,3861.20965,6231981,Christina Nelson
34,female,30.21,1,yes,northwest,43943.8761,348645,Scott Brown
61,female,35.91,0,no,northeast,13635.6379,634591,Tammy Cook
38,female,30.69,1,no,southeast,5976.8311,1529108,Theresa Wilkerson
58,female,29,0,no,southwest,11842.442,1800537,William Young
47,male,19.57,1,no,northwest,8428.0693,5625728,Bonnie Stewart
20,male,31.13,2,no,southeast,2566.4707,6137150,Nathan Hernandez
21,female,21.85,1,yes,northeast,15359.1045,2664214,Dr. Rebecca Anderson DVM
41,male,40.26,0,no,southeast,5709.1644,2438649,Mark Davis
46,female,33.725,1,no,northeast,8823.98575,6800610,Sarah Williams
42,female,29.48,2,no,southeast,7640.3092,7933496,Mr. David Wilkinson
34,female,33.25,1,no,northeast,5594.8455,8395972,Kenneth Tran
43,male,32.6,2,no,southwest,7441.501,5508428,Anthony Smith
52,female,37.525,2,no,northwest,33471.97189,2863266,Dr. Christian Cox PhD
18,female,39.16,0,no,southeast,1633.0444,6341085,Rebecca Liu
51,male,31.635,0,no,northwest,9174.13565,5449268,Anthony Watson
56,female,25.3,0,no,southwest,11070.535,3770285,Jennifer Hansen
64,female,39.05,3,no,southeast,16085.1275,6792287,Timothy Torres
19,female,28.31,0,yes,northwest,17468.9839,3971895,Maria Miller
51,female,34.1,0,no,southeast,9283.562,1033993,Brandon Parker
27,female,25.175,0,no,northeast,3558.62025,794200,Marisa Martinez
59,female,23.655,0,yes,northwest,25678.77845,268768,Jonathan Pham
28,male,26.98,2,no,northeast,4435.0942,7283999,Michelle Lee
30,male,37.8,2,yes,southwest,39241.442,5190361,Zachary Hill
47,female,29.37,1,no,southeast,8547.6913,4961108,Terri Parsons
38,female,34.8,2,no,southwest,6571.544,24968,Corey Garcia
18,female,33.155,0,no,northeast,2207.69745,1707303,William Davidson
34,female,19,3,no,northeast,6753.038,4102615,Kevin Cannon
20,female,33,0,no,southeast,1880.07,2868578,Angel Jensen
47,female,36.63,1,yes,southeast,42969.8527,7766575,Laura Walls
56,female,28.595,0,no,northeast,11658.11505,7826333,Felicia Leonard
49,male,25.6,2,yes,southwest,23306.547,6361863,Alexandra Cochran
19,female,33.11,0,yes,southeast,34439.8559,2346729,Joseph Gibson
55,female,37.1,0,no,southwest,10713.644,6032484,Brandon Lucas
30,male,31.4,1,no,southwest,3659.346,7274220,Nicole James
37,male,34.1,4,yes,southwest,40182.246,6005313,Margaret Moran
49,female,21.3,1,no,southwest,9182.17,8924195,James Stewart
18,male,33.535,0,yes,northeast,34617.84065,4508640,Jeffrey Sanchez
59,male,28.785,0,no,northwest,12129.61415,9734715,Teresa Martinez MD
29,female,26.03,0,no,northwest,3736.4647,6567491,Eric Campbell
36,male,28.88,3,no,northeast,6748.5912,8362644,Alyssa Wade
33,male,42.46,1,no,southeast,11326.71487,234679,Jason Roberts
58,male,38,0,no,southwest,11365.952,5510762,Ricky Bennett
44,female,38.95,0,yes,northwest,42983.4585,7178333,Dr. Robert Bailey
53,male,36.1,1,no,southwest,10085.846,5690409,Thomas Paul
24,male,29.3,0,no,southwest,1977.815,3302764,Kyle Thomas
29,female,35.53,0,no,southeast,3366.6697,1572018,Matthew Ray
40,male,22.705,2,no,northeast,7173.35995,1518260,Bradley Burns
51,male,39.7,1,no,southwest,9391.346,7297585,Marissa Miller
64,male,38.19,0,no,northeast,14410.9321,6256609,Debbie Santos
19,female,24.51,1,no,northwest,2709.1119,2588967,Rachel Martinez
35,female,38.095,2,no,northeast,24915.04626,7068277,Troy Meyer
39,male,26.41,0,yes,northeast,20149.3229,963480,Casey Gomez
56,male,33.66,4,no,southeast,12949.1554,8637940,Allison Hill
33,male,42.4,5,no,southwest,6666.243,3419283,Mark Mcclure
42,male,28.31,3,yes,northwest,32787.45859,6697848,David Hoffman
61,male,33.915,0,no,northeast,13143.86485,8227824,Kimberly Osborne
23,female,34.96,3,no,northwest,4466.6214,7631165,Benjamin Welch
43,male,35.31,2,no,southeast,18806.14547,4687234,Savannah Garcia
48,male,30.78,3,no,northeast,10141.1362,4751079,Steve Sanchez
39,male,26.22,1,no,northwest,6123.5688,52427,Shawn Baker
40,female,23.37,3,no,northeast,8252.2843,7337543,Brian Deleon
18,male,28.5,0,no,northeast,1712.227,5951484,Nicholas Edwards
58,female,32.965,0,no,northeast,12430.95335,7693676,Michael Dixon
49,female,42.68,2,no,southeast,9800.8882,4558122,Stephanie Simmons
53,female,39.6,1,no,southeast,10579.711,9806990,James Snow
48,female,31.13,0,no,southeast,8280.6227,9912419,Barry Bernard
45,female,36.3,2,no,southeast,8527.532,3147379,Samuel Short
59,female,35.2,0,no,southeast,12244.531,8557444,Justin Allen
52,female,25.3,2,yes,southeast,24667.419,1167190,Joseph Hill
26,female,42.4,1,no,southwest,3410.324,3447134,Lisa Singh
27,male,33.155,2,no,northwest,4058.71245,7429671,Katherine Miller
48,female,35.91,1,no,northeast,26392.26029,1093248,April Booth
57,female,28.785,4,no,northeast,14394.39815,5886753,Katie Suarez
37,male,46.53,3,no,southeast,6435.6237,3431611,Charles Pitts
57,female,23.98,1,no,southeast,22192.43711,7436713,Kathleen Aguilar
32,female,31.54,1,no,northeast,5148.5526,8588424,Patricia Becker
18,male,33.66,0,no,southeast,1136.3994,1382675,Ashley Hall
64,female,22.99,0,yes,southeast,27037.9141,3529042,Colton Martinez
43,male,38.06,2,yes,southeast,42560.4304,1592124,Ivan Wheeler
49,male,28.7,1,no,southwest,8703.456,6560494,Nicholas Edwards
40,female,32.775,2,yes,northwest,40003.33225,6675254,Sandra Adams
62,male,32.015,0,yes,northeast,45710.20785,762268,Douglas Gregory
40,female,29.81,1,no,southeast,6500.2359,1818835,Travis Stevens
30,male,31.57,3,no,southeast,4837.5823,9807935,John Welch
29,female,31.16,0,no,northeast,3943.5954,6291486,Raymond Shelton
36,male,29.7,0,no,southeast,4399.731,7947383,Sandy Stephenson
41,female,31.02,0,no,southeast,6185.3208,6153051,Sarah Mitchell
44,female,43.89,2,yes,southeast,46200.9851,9621851,Bryan Allen
45,male,21.375,0,no,northwest,7222.78625,7403450,George Day
55,female,40.81,3,no,southeast,12485.8009,6582029,Brian Murphy
60,male,31.35,3,yes,northwest,46130.5265,2172715,Donald Horne
56,male,36.1,3,no,southwest,12363.547,8922680,Kristen Salazar
49,female,23.18,2,no,northwest,10156.7832,7844736,Leslie Carpenter
21,female,17.4,1,no,southwest,2585.269,4701687,Bryan Cole
19,male,20.3,0,no,southwest,1242.26,3986800,Justin Cox
39,male,35.3,2,yes,southwest,40103.89,8962309,Justin Wells Jr.
53,male,24.32,0,no,northwest,9863.4718,7584419,Christopher Barr
33,female,18.5,1,no,southwest,4766.022,4540193,Cynthia Williams
53,male,26.41,2,no,northeast,11244.3769,8516122,Brandi Gordon
42,male,26.125,2,no,northeast,7729.64575,3391878,Jonathan Jacobson
40,male,41.69,0,no,southeast,5438.7491,8017046,Jody Palmer
47,female,24.1,1,no,southwest,26236.57997,1907903,Nathan Coleman
27,male,31.13,1,yes,southeast,34806.4677,3427086,Antonio Fry
21,male,27.36,0,no,northeast,2104.1134,8546785,Philip Ramsey
47,male,36.2,1,no,southwest,8068.185,8010062,Gary James
20,male,32.395,1,no,northwest,2362.22905,7933410,William Smith
24,male,23.655,0,no,northwest,2352.96845,5621850,Benjamin Frost
27,female,34.8,1,no,southwest,3577.999,2126788,Elizabeth Wright
26,female,40.185,0,no,northwest,3201.24515,7124065,Caroline Adams
53,female,32.3,2,no,northeast,29186.48236,4342661,Robert Long
41,male,35.75,1,yes,southeast,40273.6455,7146112,Jessica Smith
56,male,33.725,0,no,northwest,10976.24575,3341918,Kristen Rivera
23,female,39.27,2,no,southeast,3500.6123,2782827,Elizabeth Mendez
21,female,34.87,0,no,southeast,2020.5523,5807836,Andre Juarez
50,female,44.745,0,no,northeast,9541.69555,5367294,Kim Carlson
53,male,41.47,0,no,southeast,9504.3103,632424,Kathleen Morris
34,female,26.41,1,no,northwest,5385.3379,2189092,Adam Cooper
47,female,29.545,1,no,northwest,8930.93455,8055269,Lindsay Lawson
33,female,32.9,2,no,southwest,5375.038,1617990,Kimberly Hernandez
51,female,38.06,0,yes,southeast,44400.4064,8000307,Michael Ray
49,male,28.69,3,no,northwest,10264.4421,3832060,Dr. Andrea Marshall
31,female,30.495,3,no,northeast,6113.23105,5574313,Jacqueline Villegas
36,female,27.74,0,no,northeast,5469.0066,1712100,Michael Morrison
18,male,35.2,1,no,southeast,1727.54,4768701,Jessica Ramsey
50,female,23.54,2,no,southeast,10107.2206,2239559,Daniel Huang
43,female,30.685,2,no,northwest,8310.83915,5452267,Lucas Drake
20,male,40.47,0,no,northeast,1984.4533,1006762,Keith Zuniga
24,female,22.6,0,no,southwest,2457.502,6884443,Candace Jones
60,male,28.9,0,no,southwest,12146.971,3490211,Brian Glover
49,female,22.61,1,no,northwest,9566.9909,1686854,Lisa Martinez
60,male,24.32,1,no,northwest,13112.6048,544471,Matthew Armstrong
51,female,36.67,2,no,northwest,10848.1343,357972,Brandy York
58,female,33.44,0,no,northwest,12231.6136,7489691,Tracy Fleming
51,female,40.66,0,no,northeast,9875.6804,8428241,Rebekah Greene
53,male,36.6,3,no,southwest,11264.541,5217525,Terry Jones
62,male,37.4,0,no,southwest,12979.358,447898,Tiffany Mcclain
19,male,35.4,0,no,southwest,1263.249,461849,Dawn Nichols
50,female,27.075,1,no,northeast,10106.13425,7447012,Susan Watts
30,female,39.05,3,yes,southeast,40932.4295,9027716,Jesus Houston
41,male,28.405,1,no,northwest,6664.68595,3177971,Lisa Smith
29,female,21.755,1,yes,northeast,16657.71745,272614,Anthony Walker
18,female,40.28,0,no,northeast,2217.6012,4654722,Kristen Reynolds
41,female,36.08,1,no,southeast,6781.3542,438057,Mary Butler
35,male,24.42,3,yes,southeast,19361.9988,8422940,Michele Holland
53,male,21.4,1,no,southwest,10065.413,9930561,Joshua Powell
24,female,30.1,3,no,southwest,4234.927,4819346,Christine Soto
48,female,27.265,1,no,northeast,9447.25035,1009968,Jessica Foster
59,female,32.1,3,no,southwest,14007.222,9492995,Donna Jones
49,female,34.77,1,no,northwest,9583.8933,8725639,Sarah Trevino
37,female,38.39,0,yes,southeast,40419.0191,9892665,Mr. Daniel Freeman
26,male,23.7,2,no,southwest,3484.331,2992280,Chris Moore
23,male,31.73,3,yes,northeast,36189.1017,8862912,Kevin Saunders
29,male,35.5,2,yes,southwest,44585.45587,9818063,Jane Chapman
45,male,24.035,2,no,northeast,8604.48365,2601279,Justin King
27,male,29.15,0,yes,southeast,18246.4955,9380118,Kelly Lee
53,male,34.105,0,yes,northeast,43254.41795,4163356,Bruce Palmer
31,female,26.62,0,no,southeast,3757.8448,7595794,Cynthia Allen
50,male,26.41,0,no,northwest,8827.2099,7636556,Adam Craig
50,female,30.115,1,no,northwest,9910.35985,5588450,Sarah Holmes DDS
34,male,27,2,no,southwest,11737.84884,9876220,Tanya Fisher
19,male,21.755,0,no,northwest,1627.28245,8299796,Stacey Parker
47,female,36,1,no,southwest,8556.907,2663416,Melissa Vasquez
28,male,30.875,0,no,northwest,3062.50825,5705120,Anthony Nichols
37,female,26.4,0,yes,southeast,19539.243,2491630,Tyrone Mayer
21,male,28.975,0,no,northwest,1906.35825,9285574,Justin Newman
64,male,37.905,0,no,northwest,14210.53595,2203173,Mary Ryan
58,female,22.77,0,no,southeast,11833.7823,3839288,Stephanie Short
24,male,33.63,4,no,northeast,17128.42608,8240433,Mark Mckenzie
31,male,27.645,2,no,northeast,5031.26955,6139060,James Hardin
39,female,22.8,3,no,northeast,7985.815,8983314,George Alvarez
47,female,27.83,0,yes,southeast,23065.4207,5383388,Robert Gonzalez
30,male,37.43,3,no,northeast,5428.7277,8780038,Mary Durham
18,male,38.17,0,yes,southeast,36307.7983,2983248,Mary Miller
22,female,34.58,2,no,northeast,3925.7582,2677223,Cody Farmer
23,male,35.2,1,no,southwest,2416.955,347644,Logan Newton
33,male,27.1,1,yes,southwest,19040.876,6860259,Kevin Marquez
27,male,26.03,0,no,northeast,3070.8087,220502,Lisa Snyder
45,female,25.175,2,no,northeast,9095.06825,1981794,Erica Merritt
57,female,31.825,0,no,northwest,11842.62375,8501556,Mario Wilson
47,male,32.3,1,no,southwest,8062.764,9145046,Emily Herrera
42,female,29,1,no,southwest,7050.642,5701840,John Russo
64,female,39.7,0,no,southwest,14319.031,1601662,Gregory Flores
38,female,19.475,2,no,northwest,6933.24225,9928161,Steven Scott
61,male,36.1,3,no,southwest,27941.28758,9196570,Gloria Benson
53,female,26.7,2,no,southwest,11150.78,5666683,Mrs. Ann Smith
44,female,36.48,0,no,northeast,12797.20962,9738468,Shannon English
19,female,28.88,0,yes,northwest,17748.5062,4209494,Mary Barnett
41,male,34.2,2,no,northwest,7261.741,7663723,Brian Thompson
51,male,33.33,3,no,southeast,10560.4917,3938525,Robert Reyes
40,male,32.3,2,no,northwest,6986.697,1406650,Michelle Wilson
45,male,39.805,0,no,northeast,7448.40395,6183067,Kenneth King
35,male,34.32,3,no,southeast,5934.3798,8700505,Stephanie Mccoy
53,male,28.88,0,no,northwest,9869.8102,5198253,Summer Hoover
30,male,24.4,3,yes,southwest,18259.216,9279145,John Smith
18,male,41.14,0,no,southeast,1146.7966,1137995,Michael Williams
51,male,35.97,1,no,southeast,9386.1613,5349292,James Taylor
50,female,27.6,1,yes,southwest,24520.264,2543107,Jennifer Williams
31,female,29.26,1,no,southeast,4350.5144,8183253,Lisa Johnston
35,female,27.7,3,no,southwest,6414.178,2723804,Meghan Patel
60,male,36.955,0,no,northeast,12741.16745,2223105,Eric Anderson
21,male,36.86,0,no,northwest,1917.3184,2814069,Theresa Reilly
29,male,22.515,3,no,northeast,5209.57885,7674266,Larry Harding
62,female,29.92,0,no,southeast,13457.9608,7146273,Suzanne Gonzalez
39,female,41.8,0,no,southeast,5662.225,8554451,Shawn Taylor
19,male,27.6,0,no,southwest,1252.407,4013223,Michaela Lang
22,female,23.18,0,no,northeast,2731.9122,8911908,Michael Webster
53,male,20.9,0,yes,southeast,21195.818,7386463,Philip Edwards
39,female,31.92,2,no,northwest,7209.4918,7114773,Ryan Powell
27,male,28.5,0,yes,northwest,18310.742,8427624,Katherine Green
30,male,44.22,2,no,southeast,4266.1658,4911415,Alfred Williams
30,female,22.895,1,no,northeast,4719.52405,3919195,Michael Rogers
58,female,33.1,0,no,southwest,11848.141,3246651,Kimberly Ibarra
33,male,24.795,0,yes,northeast,17904.52705,6231981,Christina Nelson
42,female,26.18,1,no,southeast,7046.7222,348645,Scott Brown
64,female,35.97,0,no,southeast,14313.8463,634591,Tammy Cook
21,male,22.3,1,no,southwest,2103.08,1529108,Theresa Wilkerson
18,female,42.24,0,yes,southeast,38792.6856,1800537,William Young
23,male,26.51,0,no,southeast,1815.8759,5625728,Bonnie Stewart
45,female,35.815,0,no,northwest,7731.85785,6137150,Nathan Hernandez
40,female,41.42,1,no,northwest,28476.73499,2664214,Dr. Rebecca Anderson DVM
19,female,36.575,0,no,northwest,2136.88225,2438649,Mark Davis
18,male,30.14,0,no,southeast,1131.5066,6800610,Sarah Williams
25,male,25.84,1,no,northeast,3309.7926,7933496,Mr. David Wilkinson
46,female,30.8,3,no,southwest,9414.92,8395972,Kenneth Tran
33,female,42.94,3,no,northwest,6360.9936,5508428,Anthony Smith
54,male,21.01,2,no,southeast,11013.7119,2863266,Dr. Christian Cox PhD
28,male,22.515,2,no,northeast,4428.88785,6341085,Rebecca Liu
36,male,34.43,2,no,southeast,5584.3057,5449268,Anthony Watson
